Read all attacks for character with id 4, 1748094471582
Read character with id 4, 1748094471582
Read all skills for character with id 4, 1748094471586
Read all attacks for character with id 5, 1748094471588
Read character with id 5, 1748094471588
Read all skills for character with id 5, 1748094471593
Read all playables from database, 1748094471593
Read playable character with id 5, 1748094471593
Read all attacks for character with id 4, 1748094471596
Read character with id 4, 1748094471597
Read all skills for character with id 4, 1748094471601
Read all attacks for character with id 5, 1748094471602
Read character with id 5, 1748094471602
Read all skills for character with id 5, 1748094471606
Read all playables from database, 1748094471607
Read playable character with id 4, 1748094471607
Read all users from the database, , 1748094471607
Read all attacks for character with id 10, 1748094475893
Read character with id 10, 1748094475893
Read all attacks for character with id 11, 1748094475898
Read character with id 11, 1748094475898
Read all attacks for character with id 12, 1748094475902
Read character with id 12, 1748094475902
Read all non-playable characters from database, 1748094475904
Read all attacks for character with id 4, 1748094566802
Read character with id 4, 1748094566802
Read all skills for character with id 4, 1748094566812
Read all attacks for character with id 5, 1748094566814
Read character with id 5, 1748094566814
Read all skills for character with id 5, 1748094566819
Read all playables from database, 1748094566819
Read playable character with id 4, 1748094566820
Read all attacks for character with id 4, 1748094566823
Read character with id 4, 1748094566823
Read all skills for character with id 4, 1748094566826
Read all attacks for character with id 5, 1748094566828
Read character with id 5, 1748094566828
Read all skills for character with id 5, 1748094566832
Read all playables from database, 1748094566833
Read playable character with id 5, 1748094566833
Read all attacks for character with id 4, 1748094566836
Read character with id 4, 1748094566836
Read all skills for character with id 4, 1748094566840
Read all attacks for character with id 5, 1748094566842
Read character with id 5, 1748094566842
Read all skills for character with id 5, 1748094566846
Read all playables from database, 1748094566846
Read playable character with id 4, 1748094566846
Read all users from the database, , 1748094566847
Read all attacks for character with id 10, 1748094571675
Read character with id 10, 1748094571675
Read all attacks for character with id 11, 1748094571680
Read character with id 11, 1748094571680
Read all attacks for character with id 12, 1748094571684
Read character with id 12, 1748094571684
Read all non-playable characters from database, 1748094571686
Read all attacks for character with id 4, 1748094851501
Read character with id 4, 1748094851502
Read all skills for character with id 4, 1748094851511
Read all attacks for character with id 5, 1748094851513
Read character with id 5, 1748094851514
Read all skills for character with id 5, 1748094851518
Read all playables from database, 1748094851518
Read playable character with id 4, 1748094851519
Read all attacks for character with id 4, 1748094851522
Read character with id 4, 1748094851522
Read all skills for character with id 4, 1748094851526
Read all attacks for character with id 5, 1748094851527
Read character with id 5, 1748094851528
Read all skills for character with id 5, 1748094851532
Read all playables from database, 1748094851532
Read playable character with id 5, 1748094851532
Read all attacks for character with id 4, 1748094851535
Read character with id 4, 1748094851536
Read all skills for character with id 4, 1748094851539
Read all attacks for character with id 5, 1748094851541
Read character with id 5, 1748094851541
Read all skills for character with id 5, 1748094851545
Read all playables from database, 1748094851545
Read playable character with id 4, 1748094851545
Read all users from the database, , 1748094851546
Read all attacks for character with id 4, 1748094864094
Read character with id 4, 1748094864095
Read all skills for character with id 4, 1748094864106
Read all attacks for character with id 5, 1748094864108
Read character with id 5, 1748094864108
Read all skills for character with id 5, 1748094864114
Read all playables from database, 1748094864114
Read playable character with id 4, 1748094864114
Read all attacks for character with id 4, 1748094864117
Read character with id 4, 1748094864118
Read all skills for character with id 4, 1748094864121
Read all attacks for character with id 5, 1748094864123
Read character with id 5, 1748094864123
Read all skills for character with id 5, 1748094864128
Read all playables from database, 1748094864128
Read playable character with id 5, 1748094864128
Read all attacks for character with id 4, 1748094864132
Read character with id 4, 1748094864132
Read all skills for character with id 4, 1748094864135
Read all attacks for character with id 5, 1748094864137
Read character with id 5, 1748094864137
Read all skills for character with id 5, 1748094864141
Read all playables from database, 1748094864141
Read playable character with id 4, 1748094864141
Read all users from the database, , 1748094864141
Read all attacks for character with id 10, 1748094866223
Read character with id 10, 1748094866223
Read all attacks for character with id 11, 1748094866228
Read character with id 11, 1748094866228
Read all attacks for character with id 12, 1748094866232
Read character with id 12, 1748094866232
Read all non-playable characters from database, 1748094866234
Read all attacks for character with id 4, 1748094937368
Read character with id 4, 1748094937369
Read all skills for character with id 4, 1748094937378
Read all attacks for character with id 5, 1748094937380
Read character with id 5, 1748094937380
Read all skills for character with id 5, 1748094937385
Read all playables from database, 1748094937385
Read playable character with id 4, 1748094937385
Read all attacks for character with id 4, 1748094937388
Read character with id 4, 1748094937388
Read all skills for character with id 4, 1748094937392
Read all attacks for character with id 5, 1748094937394
Read character with id 5, 1748094937394
Read all skills for character with id 5, 1748094937398
Read all playables from database, 1748094937399
Read playable character with id 5, 1748094937399
Read all attacks for character with id 4, 1748094937402
Read character with id 4, 1748094937402
Read all skills for character with id 4, 1748094937406
Read all attacks for character with id 5, 1748094937407
Read character with id 5, 1748094937407
Read all skills for character with id 5, 1748094937411
Read all playables from database, 1748094937411
Read playable character with id 4, 1748094937411
Read all users from the database, , 1748094937412
Read all attacks for character with id 10, 1748094939768
Read character with id 10, 1748094939768
Read all attacks for character with id 11, 1748094939774
Read character with id 11, 1748094939774
Read all attacks for character with id 12, 1748094939778
Read character with id 12, 1748094939779
Read all non-playable characters from database, 1748094939780
Read all attacks for character with id 4, 1748105788537
Read character with id 4, 1748105788541
Read skill with id: 3, 1748105788550
Read skill with id: 4, 1748105788553
Read all skills for character with id 4, 1748105788554
Read all attacks for character with id 5, 1748105788556
Read character with id 5, 1748105788556
Read skill with id: 1, 1748105788559
Read skill with id: 2, 1748105788561
Read all skills for character with id 5, 1748105788562
Read all playables from database, 1748105788562
Read playable character with id 4, 1748105788562
Read all attacks for character with id 4, 1748105788565
Read character with id 4, 1748105788565
Read skill with id: 3, 1748105788567
Read skill with id: 4, 1748105788569
Read all skills for character with id 4, 1748105788569
Read all attacks for character with id 5, 1748105788571
Read character with id 5, 1748105788571
Read skill with id: 1, 1748105788574
Read skill with id: 2, 1748105788576
Read all skills for character with id 5, 1748105788576
Read all playables from database, 1748105788577
Read playable character with id 5, 1748105788577
Read all attacks for character with id 4, 1748105788580
Read character with id 4, 1748105788580
Read skill with id: 3, 1748105788582
Read skill with id: 4, 1748105788584
Read all skills for character with id 4, 1748105788584
Read all attacks for character with id 5, 1748105788586
Read character with id 5, 1748105788586
Read skill with id: 1, 1748105788588
Read skill with id: 2, 1748105788590
Read all skills for character with id 5, 1748105788590
Read all playables from database, 1748105788590
Read playable character with id 4, 1748105788591
Read all users from the database, , 1748105788591
Read all skills from the database, 1748105867842
Read all skills from the database, 1748105871495
Read all attacks for character with id 10, 1748105871497
Read character with id 10, 1748105871497
Read all attacks for character with id 11, 1748105871508
Read character with id 11, 1748105871509
Read all attacks for character with id 12, 1748105871514
Read character with id 12, 1748105871514
Read all non-playable characters from database, 1748105871516
Removed effect with id: 2 from skill with id: 1, 1748105875858
Read all skills from the database, 1748105892323
Read all skills from the database, 1748106000395
Read all skills from the database, 1748106011662
Read all skills from the database, 1748106120050
Read all attacks for character with id 10, 1748106120063
Read character with id 10, 1748106120063
Read all attacks for character with id 11, 1748106120070
Read character with id 11, 1748106120070
Read all attacks for character with id 12, 1748106120074
Read character with id 12, 1748106120074
Read all non-playable characters from database, 1748106120076
Added skill with id: 5, 1748106120085
Read all attacks for character with id 4, 1748106124871
Read character with id 4, 1748106124872
Read skill with id: 3, 1748106124874
Read skill with id: 4, 1748106124876
Read all skills for character with id 4, 1748106124876
Read all attacks for character with id 5, 1748106124878
Read character with id 5, 1748106124878
Read skill with id: 1, 1748106124880
Read skill with id: 2, 1748106124882
Read all skills for character with id 5, 1748106124882
Read all playables from database, 1748106124882
Read all skills from the database, 1748106128830
Read all attacks for character with id 4, 1748106134898
Read character with id 4, 1748106134898
Read skill with id: 3, 1748106134900
Read skill with id: 4, 1748106134901
Read all skills for character with id 4, 1748106134901
Read all attacks for character with id 5, 1748106134903
Read character with id 5, 1748106134903
Read skill with id: 1, 1748106134904
Read skill with id: 2, 1748106134906
Read all skills for character with id 5, 1748106134907
Read all playables from database, 1748106134907
Read all skills from the database, 1748106136489
Added skill with id 5 for character with id 5, 1748106138307
Read all attacks for character with id 4, 1748106140408
Read character with id 4, 1748106140408
Read skill with id: 3, 1748106140410
Read skill with id: 4, 1748106140412
Read all skills for character with id 4, 1748106140412
Read all attacks for character with id 5, 1748106140413
Read character with id 5, 1748106140414
Read skill with id: 1, 1748106140415
Read skill with id: 2, 1748106140417
Read skill with id: 5, 1748106140418
Read all skills for character with id 5, 1748106140418
Read all playables from database, 1748106140418
Read all attacks for character with id 4, 1748106156365
Read all attacks for character with id 5, 1748106156366
Read all attacks for character with id 10, 1748106156367
Read all attacks for character with id 11, 1748106156368
Read all attacks for character with id 12, 1748106156370
Read all attacks for character with id 13, 1748106156377
Read all attacks for character with id 22, 1748106156379
Read all attacks for character with id 23, 1748106156380
Read all characters from database, 1748106156380
Read all skills from the database, 1748107235429
Read all skills from the database, 1748107239599
Read all attacks for character with id 10, 1748107239611
Read character with id 10, 1748107239612
Read all attacks for character with id 11, 1748107239617
Read character with id 11, 1748107239617
Read all attacks for character with id 12, 1748107239622
Read character with id 12, 1748107239622
Read all non-playable characters from database, 1748107239624
Added effect with id: 2 to skill with id: 1, 1748107268777
Updated skill with id: 1, 1748107282763
Read all skills from the database, 1748107531465
Read all skills from the database, 1748107874474
Read all skills from the database, 1748107882125
Read all attacks for character with id 10, 1748107882139
Read character with id 10, 1748107882139
Read all attacks for character with id 11, 1748107882145
Read character with id 11, 1748107882146
Read all attacks for character with id 12, 1748107882150
Read character with id 12, 1748107882150
Read all non-playable characters from database, 1748107882152
Updated effect duration for skill with id: 1 and effect with id: 2, 1748107888933
Read all skills from the database, 1748107898238
Read all attacks for character with id 4, 1748108111319
Read character with id 4, 1748108111323
Read skill with id: 3, 1748108111332
Read skill with id: 4, 1748108111335
Read all skills for character with id 4, 1748108111335
Read all attacks for character with id 5, 1748108111338
Read character with id 5, 1748108111338
Read skill with id: 1, 1748108111341
Read skill with id: 2, 1748108111343
Read skill with id: 5, 1748108111345
Read all skills for character with id 5, 1748108111345
Read all playables from database, 1748108111346
Read playable character with id 4, 1748108111346
Read all attacks for character with id 4, 1748108111349
Read character with id 4, 1748108111349
Read skill with id: 3, 1748108111351
Read skill with id: 4, 1748108111353
Read all skills for character with id 4, 1748108111354
Read all attacks for character with id 5, 1748108111355
Read character with id 5, 1748108111356
Read skill with id: 1, 1748108111358
Read skill with id: 2, 1748108111360
Read skill with id: 5, 1748108111363
Read all skills for character with id 5, 1748108111363
Read all playables from database, 1748108111363
Read playable character with id 5, 1748108111363
Read all attacks for character with id 4, 1748108111366
Read character with id 4, 1748108111366
Read skill with id: 3, 1748108111368
Read skill with id: 4, 1748108111370
Read all skills for character with id 4, 1748108111370
Read all attacks for character with id 5, 1748108111372
Read character with id 5, 1748108111372
Read skill with id: 1, 1748108111374
Read skill with id: 2, 1748108111376
Read skill with id: 5, 1748108111378
Read all skills for character with id 5, 1748108111378
Read all playables from database, 1748108111378
Read playable character with id 4, 1748108111379
Read all users from the database, , 1748108111379
Read all attacks for character with id 4, 1748108118223
Read character with id 4, 1748108118223
Read skill with id: 3, 1748108118225
Read skill with id: 4, 1748108118227
Read all skills for character with id 4, 1748108118227
Read all attacks for character with id 5, 1748108118229
Read character with id 5, 1748108118229
Read skill with id: 1, 1748108118231
Read skill with id: 2, 1748108118233
Read skill with id: 5, 1748108118234
Read all skills for character with id 5, 1748108118234
Read all playables from database, 1748108118235
Read playable character with id 4, 1748108118235
Read all attacks for character with id 4, 1748108118236
Read character with id 4, 1748108118237
Read skill with id: 3, 1748108118242
Read skill with id: 4, 1748108118245
Read all skills for character with id 4, 1748108118245
Read all attacks for character with id 5, 1748108118246
Read character with id 5, 1748108118246
Read skill with id: 1, 1748108118248
Read skill with id: 2, 1748108118250
Read skill with id: 5, 1748108118252
Read all skills for character with id 5, 1748108118252
Read all playables from database, 1748108118252
Read playable character with id 5, 1748108118252
Read all attacks for character with id 4, 1748108118254
Read character with id 4, 1748108118254
Read skill with id: 3, 1748108118256
Read skill with id: 4, 1748108118257
Read all skills for character with id 4, 1748108118257
Read all attacks for character with id 5, 1748108118259
Read character with id 5, 1748108118259
Read skill with id: 1, 1748108118261
Read skill with id: 2, 1748108118262
Read skill with id: 5, 1748108118264
Read all skills for character with id 5, 1748108118264
Read all playables from database, 1748108118264
Read playable character with id 4, 1748108118264
Read all users from the database, , 1748108118265
Read all skills from the database, 1748108196021
Read all attacks for character with id 10, 1748108196023
Read character with id 10, 1748108196023
Read all attacks for character with id 11, 1748108196027
Read character with id 11, 1748108196027
Read all attacks for character with id 12, 1748108196031
Read character with id 12, 1748108196031
Read all non-playable characters from database, 1748108196032
Added skill with id: 6, 1748108196039
Added skill with id: 7, 1748108247533
Read all skills from the database, 1748108253643
Updated skill with id: 7, 1748108261352
Read all attacks for character with id 4, 1748108338845
Read all attacks for character with id 5, 1748108338846
Read all attacks for character with id 10, 1748108338846
Read all attacks for character with id 11, 1748108338848
